,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
1990-06-01,-3.616907113471502,-1.8399693196694231,-1.9075683315494465,-1.1618119875493422,-1.2297451789885987,-1.2158084300480052,-0.9937295799212675,-2.4346970793184375,-1.326697047513312,-1.1987071325641168,-3.0805695758569023,-2.294231847397173,-0.8369209414321456
1990-09-01,-3.2972530270912204,-2.373569651808404,-1.561164706727188,-1.1410010447406047,-1.317562226065665,-1.11912784117387,-0.8859331486788595,-2.464831966378263,-1.3289945944959618,-1.1862896435278818,-2.740320167865332,-1.8641668691618472,-0.8383354637232718
1990-12-01,-3.144367394956637,-2.7212501993091793,-1.5873568909146794,-1.055921169881868,-1.3628569619664226,-1.0250131138762326,-0.7875674030697142,-2.6152009321884466,-1.0392558335419577,-1.2132623273509213,-2.8895742858548994,-1.895752209759253,-0.86742110371524
1991-03-01,-3.4254134678846224,-2.3821994063854817,-1.7468741217875408,-1.1471822385719326,-1.152410390107778,-1.3557878684616205,-1.0135723183078649,-2.466912497771214,-0.26971495162875947,-1.1506344711025658,-3.027338867266912,-2.175961308920762,-0.6311011248785374
1991-06-01,-3.774917683123907,-2.6257634857000154,-1.7628056926833149,-1.4263305262141772,-1.4312627121606545,-1.231029296193796,-0.9037640375980152,-2.258249518343153,-1.5838291700214646,-0.6921729341403641,-2.374036474291399,-1.6133035929056407,-0.5276391714931415
1991-09-01,-3.770320167810076,-2.7815824710120447,-1.4632123393634102,-1.4128272079982942,-1.4045025895725494,-1.2404813210261032,-0.9680032510967689,-2.1947542987386637,0.4737610748894324,-1.0334623160203116,-2.2161760972612816,-2.087481454524341,-0.457896817038308
1991-12-01,-3.774940663640516,-2.3855714493574904,-1.6806501797574005,-1.5063303707387714,-1.33779990753315,-1.2158460157754694,-0.8388076536402436,-2.2463338630659226,-0.42893587357670165,-0.823695828713614,-2.1588245459691224,-2.26611913913655,-0.4649559137237925
1992-03-01,-3.282860527306563,-2.9965689510771756,-1.7304330808796036,-1.3831261791349843,-1.3287690288684957,-1.165894329143896,-0.9243014333113234,-2.041813607207078,0.3143299575308338,-1.674701568629726,-1.888211430715962,-2.6368243614740616,-0.7200861762325375
1992-06-01,-4.876686306533895,-2.69631065729673,-1.6432699273701987,-1.4394205556572528,-1.377451067602724,-1.2957576001052629,-1.0251906653896676,-1.6269711608901256,-1.8329616567332394,-0.7540965726551085,-1.6265223068196333,-2.381409333324006,-0.3672266185672194
1992-09-01,-5.1804407087176365,-2.483253536503026,-1.7456845156527367,-1.6913611967370017,-1.359081814616138,-1.2876534298607751,-1.0391876786582426,-1.6506138218063708,-1.593610139135296,-1.0110410325664838,-1.7823887660116162,-3.2049356072125708,-0.36348640646668134
1992-12-01,-4.884196091563264,-2.6425292148729222,-1.7608138151814285,-1.6194213582950636,-1.4386682593667948,-1.2709694244439624,-0.8816193624626103,-1.500041913696514,-0.9704530082456168,-1.2601048511254258,-1.690669374567426,-3.1549872477038674,-0.4914817585609207
1993-03-01,-3.377330379228084,-2.4600750391819313,-1.4345621548064154,-1.3202971237752694,-1.3583309959736924,-1.2403474300194557,-0.9938191124138428,-1.773595724887153,-0.9468774841839138,-0.9265729978967334,-1.7663238189070323,-2.6277108920801733,-0.37165934093797015
1993-06-01,-3.526327820147546,-2.39733369696055,-1.5621186707802142,-1.3410362812444567,-1.431047920653051,-1.286660991431062,-1.0817959751231148,-1.5868402871903953,-1.8581396703566646,-0.9526400238709481,-1.5511581094854348,-2.672776805253108,-0.7739866344188192
1993-09-01,-3.5694482291089438,-2.3322027494181388,-1.7558874825243573,-1.3431497276931534,-1.3839437550840337,-1.3091941137504002,-1.0216193330235548,-1.6194859033929014,-1.6448884335460827,-0.899722349014588,-1.3936803595462708,-2.235293944138232,-0.7244239360345793
1993-12-01,-3.3850545231670663,-1.961482443829962,-1.8567487293219205,-1.3474729074819696,-1.3428046587292857,-1.3355898117394294,-1.082772412540232,-1.6571419903354565,-1.3482618878453554,-0.8567717366310666,-1.5029396356493088,-1.6802985614781556,-0.7367942789060027
1994-03-01,-3.416413080013607,-2.2546755340320654,-1.8774655160051912,-1.2026635325320667,-1.4531078932243815,-1.3420577553111581,-0.9337881171255941,-1.6179018931854565,-1.5490885617861254,-0.981647235510986,-1.790716698549848,-2.2675376270416936,-0.6572609919648382
1994-06-01,-3.4844254409765347,-1.9817796410680397,-1.7247424913226985,-1.2294633902386443,-1.0439933538080586,-1.351293868752444,-0.9600506611751431,-1.5387258514567188,-1.3309189639577559,-0.9117678025994493,-1.9607087841668367,-2.8560377420444634,-0.7685274633887859
1994-09-01,-3.506006484559362,-2.0353623427098024,-1.8298824735203068,-1.6670438825316838,-1.0443591128724519,-1.3588871667911449,-0.9445885386946737,-1.3817374068390358,-1.0887985372555447,-0.933721037039637,-1.7535194935234082,-3.1931364830178386,-0.7943898551781793
1994-12-01,-3.7751739816327374,-1.815316488849177,-1.6440827114205567,-1.3318412766116141,-1.1501932009398514,-1.2703819118358297,-1.00745410484776,-1.3804759768126755,-1.573304515893988,-1.0288318177465157,-1.456391233078709,-2.954756356204964,-0.7415929111363316
